,epi_week,Dengue Fever,Dengue Haemorrhagic Fever
0,2012-01-02,74,0
1,2012-01-09,64,2
2,2012-01-16,60,1
3,2012-01-23,50,2
4,2012-01-30,84,1
5,2012-02-06,87,0
6,2012-02-13,65,0
7,2012-02-20,50,1
8,2012-02-27,55,0
9,2012-03-05,45,1
10,2012-03-12,64,0
11,2012-03-19,72,1
12,2012-03-26,48,0
13,2012-04-02,52,0
14,2012-04-09,81,1
15,2012-04-16,77,0
16,2012-04-23,64,0
17,2012-04-30,86,2
18,2012-05-07,96,1
19,2012-05-14,80,0
20,2012-05-21,80,0
21,2012-05-28,81,0
22,2012-06-04,99,1
23,2012-06-11,87,1
24,2012-06-18,128,1
25,2012-06-25,151,0
26,2012-07-02,140,0
27,2012-07-09,131,1
28,2012-07-16,124,1
29,2012-07-23,110,0
30,2012-07-30,94,0
31,2012-08-06,127,0
32,2012-08-13,115,0
33,2012-08-20,92,0
34,2012-08-27,102,0
35,2012-09-03,75,1
36,2012-09-10,73,1
37,2012-09-17,72,0
38,2012-09-24,99,1
39,2012-10-01,103,1
40,2012-10-08,122,1
41,2012-10-15,105,0
42,2012-10-22,84,0
43,2012-10-29,104,0
44,2012-11-05,99,1
45,2012-11-12,87,1
46,2012-11-19,99,1
47,2012-11-26,80,0
48,2012-12-03,78,0
49,2012-12-10,104,1
50,2012-12-17,92,2
51,2012-12-24,111,1
52,2012-12-31,132,2
53,2013-01-07,204,1
54,2013-01-14,219,0
55,2013-01-21,264,3
56,2013-01-28,292,1
57,2013-02-04,322,0
58,2013-02-11,246,1
59,2013-02-18,294,2
60,2013-02-25,247,2
61,2013-03-04,272,1
62,2013-03-11,307,1
63,2013-03-18,305,2
64,2013-03-25,314,2
65,2013-04-01,402,4
66,2013-04-08,491,1
67,2013-04-15,505,4
68,2013-04-22,536,2
69,2013-04-29,547,0
70,2013-05-06,556,2
71,2013-05-13,611,0
72,2013-05-20,637,3
73,2013-05-27,742,4
74,2013-06-03,813,1
75,2013-06-10,805,4
76,2013-06-17,838,4
77,2013-06-24,802,4
78,2013-07-01,676,2
79,2013-07-08,540,1
80,2013-07-15,389,1
81,2013-07-22,305,1
82,2013-07-29,288,1
83,2013-08-05,255,1
84,2013-08-12,378,0
85,2013-08-19,338,3
86,2013-08-26,382,4
87,2013-09-02,449,3
88,2013-09-09,337,2
89,2013-09-16,370,6
90,2013-09-23,402,4
91,2013-09-30,439,2
92,2013-10-07,435,3
93,2013-10-14,371,3
94,2013-10-21,495,0
95,2013-10-28,457,1
96,2013-11-04,401,1
97,2013-11-11,442,2
98,2013-11-18,365,0
99,2013-11-25,372,0
100,2013-12-02,347,0
101,2013-12-09,380,1
102,2013-12-16,371,0
103,2013-12-23,414,0
104,2013-12-30,436,1
105,2014-01-06,479,0
106,2014-01-13,401,0
107,2014-01-20,336,0
108,2014-01-27,234,0
109,2014-02-03,273,1
110,2014-02-10,369,0
111,2014-02-17,193,1
112,2014-02-24,186,1
113,2014-03-03,209,1
114,2014-03-10,224,1
115,2014-03-17,210,0
116,2014-03-24,225,0
117,2014-03-31,240,0
118,2014-04-07,244,1
119,2014-04-14,235,0
120,2014-04-21,282,0
121,2014-04-28,251,0
122,2014-05-05,261,0
123,2014-05-12,291,0
124,2014-05-19,427,1
125,2014-05-26,456,0
126,2014-06-02,458,1
127,2014-06-09,506,0
128,2014-06-16,550,1
129,2014-06-23,671,0
130,2014-06-30,888,3
131,2014-07-07,818,1
132,2014-07-14,744,2
133,2014-07-21,633,1
134,2014-07-28,484,0
135,2014-08-04,545,0
136,2014-08-11,438,0
137,2014-08-18,418,0
138,2014-08-25,367,0
139,2014-09-01,339,0
140,2014-09-08,362,0
141,2014-09-15,396,1
142,2014-09-22,344,1
143,2014-09-29,339,0
144,2014-10-06,278,0
145,2014-10-13,297,0
146,2014-10-20,213,0
147,2014-10-27,186,0
148,2014-11-03,168,1
149,2014-11-10,158,0
150,2014-11-17,149,0
151,2014-11-24,162,0
152,2014-12-01,212,0
153,2014-12-08,177,0
154,2014-12-15,198,0
155,2014-12-22,188,0
156,2014-12-29,158,0
157,2014-12-29,256,1
158,2015-01-05,228,0
159,2015-01-12,237,0
160,2015-01-19,259,0
161,2015-01-26,212,0
162,2015-02-02,173,0
163,2015-02-09,99,1
164,2015-02-16,172,0
165,2015-02-23,189,1
166,2015-03-02,110,0
167,2015-03-09,91,0
168,2015-03-16,129,1
169,2015-03-23,90,1
170,2015-03-30,107,0
171,2015-04-06,137,0
172,2015-04-13,113,0
173,2015-04-20,120,0
174,2015-04-27,135,0
175,2015-05-04,157,1
176,2015-05-11,109,0
177,2015-05-18,178,2
178,2015-05-25,151,1
179,2015-06-01,192,1
180,2015-06-08,207,0
181,2015-06-15,240,0
182,2015-06-22,242,0
183,2015-06-29,272,0
184,2015-07-06,263,0
185,2015-07-13,293,0
186,2015-07-20,250,0
187,2015-07-27,226,0
188,2015-08-03,221,0
189,2015-08-10,250,0
190,2015-08-17,225,0
191,2015-08-24,246,0
192,2015-08-31,217,0
193,2015-09-07,303,0
194,2015-09-14,214,0
195,2015-09-21,257,0
