date,search_dengue_fever,search_dengue_hospital,search_dengue_symptoms,search_mosquito_aedes,search_mosquito_bite,search_dengue,search_dengue_treatment
2012-01-01,8,38,7,8,13,9,0
2012-02-01,10,0,5,22,22,11,42
2012-03-01,10,0,10,17,33,9,0
2012-04-01,8,0,9,26,34,9,0
2012-05-01,9,0,9,16,8,12,0
2012-06-01,11,0,13,0,12,11,44
2012-07-01,14,0,17,31,7,12,0
2012-08-01,11,0,6,19,11,10,0
2012-09-01,11,29,10,16,0,9,0
2012-10-01,12,0,13,16,0,11,0
2012-11-01,10,0,10,10,22,10,0
2012-12-01,9,0,7,9,22,8,0
2013-01-01,15,0,12,5,16,14,0
2013-02-01,20,0,19,15,19,20,34
2013-03-01,20,0,13,12,16,18,0
2013-04-01,47,22,39,33,53,46,51
2013-05-01,52,0,50,45,27,50,100
2013-06-01,100,0,100,77,65,100,0
2013-07-01,46,16,43,59,25,45,0
2013-08-01,31,0,30,38,38,31,31
2013-09-01,27,47,24,23,34,27,22
2013-10-01,35,0,33,24,34,35,0
2013-11-01,32,29,31,21,31,31,38
2013-12-01,26,0,24,8,43,24,0
2014-01-01,26,0,26,25,21,26,56
2014-02-01,24,0,23,11,31,24,0
2014-03-01,20,0,15,0,70,19,0
2014-04-01,21,0,16,18,42,20,34
2014-05-01,20,0,22,19,42,20,0
2014-06-01,27,0,22,21,47,27,48
2014-07-01,44,0,45,30,28,43,31
2014-08-01,37,17,36,36,31,37,33
2014-09-01,23,13,17,17,19,22,0
2014-10-01,20,0,15,21,32,19,0
2014-11-01,17,0,13,9,12,16,0
2014-12-01,15,0,16,10,43,15,22
2015-01-01,17,0,15,0,40,16,34
2015-02-01,15,18,13,22,19,13,0
2015-03-01,15,82,10,12,25,14,15
2015-04-01,15,0,9,17,40,14,0
2015-05-01,18,37,16,19,41,17,20
2015-06-01,18,0,16,0,41,18,18
2015-07-01,21,0,11,21,33,19,0
2015-08-01,16,16,9,6,30,14,0
2015-09-01,18,11,8,8,32,16,19
2015-10-01,18,0,12,6,27,17,25
2015-11-01,18,0,12,5,38,16,33
2015-12-01,22,100,19,22,61,22,40
2016-01-01,39,17,33,44,44,38,32
2016-02-01,41,0,40,29,44,40,15
2016-03-01,28,0,23,17,37,28,34
2016-04-01,23,0,15,20,32,22,0
2016-05-01,21,13,17,20,39,20,16
2016-06-01,22,13,20,11,49,20,0
2016-07-01,23,0,19,21,28,23,0
2016-08-01,21,0,14,30,44,21,27
2016-09-01,27,17,15,100,100,26,21
2016-10-01,16,48,10,14,25,16,71
2016-11-01,12,0,8,7,39,11,43
2016-12-01,8,0,6,13,43,8,0
2017-01-01,11,0,9,7,36,11,20
2017-02-01,11,0,8,9,21,9,35
2017-03-01,11,14,9,16,39,10,20
2017-04-01,11,19,7,24,41,10,0
2017-05-01,13,16,12,12,50,13,21
2017-06-01,12,0,10,0,19,12,0
2017-07-01,13,0,12,4,40,12,0
2017-08-01,10,0,7,7,31,10,13
2017-09-01,10,0,7,13,43,10,0
2017-10-01,13,0,10,16,34,12,15
2017-11-01,11,0,10,8,13,11,12
2017-12-01,11,13,7,6,18,11,14
2018-01-01,12,14,7,9,9,11,0
2018-02-01,9,0,6,6,21,9,35
2018-03-01,9,20,6,0,31,9,0
2018-04-01,8,0,5,7,36,7,0
2018-05-01,20,19,9,12,65,19,0
2018-06-01,13,0,7,15,44,12,0
2018-07-01,12,12,7,6,29,11,0
2018-08-01,10,0,6,10,28,9,26
2018-09-01,10,0,7,6,18,10,0
2018-10-01,9,0,7,4,31,9,0
2018-11-01,12,0,7,11,50,11,44
2018-12-01,14,0,7,12,34,14,0
2019-01-01,19,42,6,14,33,18,0
2019-02-01,21,24,11,25,43,20,17
2019-03-01,15,19,7,7,26,14,0
2019-04-01,17,0,8,22,49,15,34
2019-05-01,22,0,15,15,55,21,42
2019-06-01,32,0,27,25,57,31,22
2019-07-01,45,52,29,25,47,44,56
2019-08-01,42,0,28,23,52,37,32
2019-09-01,27,0,18,10,44,27,34
2019-10-01,22,0,11,16,28,21,0
2019-11-01,28,25,18,8,41,28,0
2019-12-01,22,0,12,12,39,22,23
2020-01-01,25,9,15,11,33,25,22
2020-02-01,34,0,15,14,40,35,37
2020-03-01,28,18,15,17,29,28,0
2020-04-01,21,21,12,13,37,21,16
2020-05-01,27,0,15,14,49,27,0
2020-06-01,67,27,37,38,74,67,37
2020-07-01,76,30,42,52,76,77,68
2020-08-01,62,23,31,41,63,61,49
2020-09-01,35,15,22,23,39,33,0
2020-10-01,24,0,15,9,36,23,12
2020-11-01,17,0,10,13,30,17,35
2020-12-01,11,0,6,9,28,11,0
2021-01-01,10,0,6,4,31,9,0
2021-02-01,10,12,5,9,24,10,0
2021-03-01,10,0,5,8,33,11,0
2021-04-01,10,0,5,16,41,9,0
2021-05-01,9,34,5,11,37,9,24
2021-06-01,10,13,4,13,27,10,12
2021-07-01,10,0,4,4,29,10,0
2021-08-01,9,0,5,0,35,9,0
2021-09-01,10,0,4,6,33,10,17
2021-10-01,9,0,1,6,29,9,0
2021-11-01,7,0,4,7,11,8,23
2021-12-01,5,0,3,5,30,5,0
2022-01-01,8,14,4,8,34,9,0
2022-02-01,10,0,5,5,34,9,16
2022-03-01,16,0,12,11,32,16,22
2022-04-01,31,7,21,28,47,30,18
2022-05-01,49,11,43,25,50,47,28
2022-06-01,58,0,56,30,41,56,84
2022-07-01,48,16,44,16,63,47,14
2022-08-01,33,33,32,23,46,33,21
2022-09-01,26,10,26,16,43,25,27
2022-10-01,23,14,23,12,44,23,20
2022-11-01,16,0,16,19,27,17,22
2022-12-01,17,0,15,11,29,16,23
