Date, Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),mean_rh
2012-01-01,106.1,26.703225806451613,32.5,21.5,9.083870967741936,64.8,87.3
2012-02-01,83.6,27.137931034482758,32.9,22.7,9.889655172413793,42.1,85.6
2012-03-01,313.4,27.016129032258064,33.2,21.1,6.864516129032259,56.9,87.3
2012-04-01,260.6,27.613333333333333,32.9,21.9,6.38,50.0,85.1
2012-05-01,292.0,28.174193548387095,33.7,22.0,6.996774193548387,53.6,83.1
2012-06-01,53.0,28.703333333333333,32.7,22.8,8.979999999999999,41.4,79.0
2012-07-01,130.8,27.741935483870968,32.1,22.9,9.238709677419354,49.7,81.1
2012-08-01,119.0,27.958064516129035,32.7,23.1,11.290322580645162,52.9,79.8
2012-09-01,107.6,27.926666666666666,32.7,22.5,8.426666666666668,79.6,79.7
2012-10-01,122.2,27.73548387096774,33.1,23.5,6.551612903225807,49.0,81.3
2012-11-01,208.20000000000002,27.12,32.8,23.4,5.886666666666667,46.8,85.4
2012-12-01,363.4,26.693548387096776,32.2,22.2,6.409677419354838,38.9,87.0
2013-01-01,262.0,27.04516129032258,35.2,21.6,9.938709677419356,56.2,82.1
2013-02-01,395.2,26.532142857142855,32.5,21.5,7.757142857142857,50.4,86.9
2013-03-01,85.8,28.29032258064516,33.8,23.9,9.351612903225806,43.9,80.4
2013-04-01,159.4,28.209999999999997,34.9,22.1,6.373333333333333,75.2,82.7
2013-05-01,211.4,28.200000000000003,33.9,22.9,6.438709677419355,45.7,83.1
2013-06-01,111.39999999999999,28.973333333333336,34.5,22.6,6.2733333333333325,44.3,74.6
2013-07-01,174.6,27.770967741935483,33.5,22.9,7.058064516129033,40.0,79.9
2013-08-01,165.6,27.89032258064516,32.8,21.6,9.238709677419354,47.2,79.0
2013-09-01,257.0,27.540000000000003,32.9,21.9,7.4,51.1,81.3
2013-10-01,285.40000000000003,27.712903225806453,33.2,20.9,7.032258064516129,52.2,79.9
2013-11-01,292.4,27.146666666666665,32.9,22.9,6.166666666666667,36.7,84.6
2013-12-01,348.2,26.47741935483871,33.7,21.2,8.37741935483871,48.2,85.8
2014-01-01,75.4,26.203225806451613,31.8,22.4,11.238709677419354,42.8,78.5
2014-02-01,0.2,27.224999999999998,33.8,22.4,13.732142857142858,42.8,74.5
2014-03-01,66.0,27.932258064516127,34.4,23.6,11.506451612903225,42.1,76.0
2014-04-01,110.0,28.23,34.5,22.8,7.163333333333333,43.2,80.0
2014-05-01,125.8,28.56451612903226,33.8,23.0,6.929032258064517,42.5,80.2
2014-06-01,71.4,29.03666666666667,33.6,23.0,7.916666666666667,60.5,77.5
2014-07-01,148.6,28.703225806451613,33.2,21.1,8.85483870967742,70.6,78.3
2014-08-01,241.0,27.65806451612903,31.9,22.0,8.470967741935485,52.9,79.7
2014-09-01,83.6,28.503333333333334,33.2,22.4,10.03,61.9,75.6
2014-10-01,120.0,28.393548387096775,34.1,24.0,8.303225806451612,42.1,77.0
2014-11-01,250.8,27.496666666666666,33.4,22.2,6.423333333333333,50.8,82.4
2014-12-01,245.6,27.05806451612903,33.6,22.4,7.290322580645161,49.7,82.6
2015-01-01,79.6,26.861290322580647,32.4,23.3,11.151612903225805,42.5,77.6
2015-02-01,18.8,26.974999999999998,33.6,23.1,13.210714285714285,43.2,75.4
2015-03-01,84.4,28.154838709677417,34.4,23.4,10.916129032258064,45.0,75.8
2015-04-01,73.2,28.6,34.4,24.0,8.206666666666667,37.1,77.1
2015-05-01,89.0,28.73548387096774,34.2,24.0,8.72258064516129,51.5,78.9
2015-06-01,95.8,28.993333333333332,34.3,24.2,9.856666666666666,44.3,75.8
2015-07-01,116.8,29.05483870967742,32.7,22.1,12.038709677419355,59.4,74.9
2015-08-01,185.8,28.4,33.1,22.6,11.774193548387096,49.0,76.7
2015-09-01,61.599999999999994,28.68,33.2,23.1,10.566666666666666,43.2,75.0
2015-10-01,87.2,28.674193548387095,33.6,21.9,9.287096774193548,59.4,75.4
2015-11-01,72.6,27.96333333333333,33.6,23.7,6.536666666666666,37.8,79.1
2015-12-01,302.0,27.72258064516129,33.1,22.5,8.025806451612903,43.6,81.1
2016-01-01,127.0,28.29032258064516,32.8,22.9,10.196774193548388,64.8,79.6
2016-02-01,186.0,27.83448275862069,32.7,23.3,11.706896551724139,45.7,78.8
2016-03-01,6.2,28.983870967741936,34.1,25.4,11.693548387096774,44.6,74.7
2016-04-01,89.8,29.44,35.0,25.3,8.453333333333333,45.7,75.6
2016-05-01,193.8,29.287096774193547,34.6,23.9,7.538709677419354,53.6,77.4
2016-06-01,163.2,28.509999999999998,33.4,22.5,7.036666666666666,50.8,77.7
2016-07-01,168.6,28.406451612903226,33.4,22.5,8.07741935483871,52.6,77.3
2016-08-01,139.2,28.896774193548385,33.8,22.1,8.387096774193548,65.2,74.0
2016-09-01,118.9,28.28666666666667,34.4,22.6,6.956666666666666,54.0,73.9
2016-10-01,181.0,28.335483870967742,34.6,21.6,6.532258064516129,51.1,72.0
2016-11-01,290.2,27.433333333333334,32.6,22.7,6.0633333333333335,45.7,77.6
2016-12-01,292.6,27.406451612903226,33.6,23.0,7.164516129032258,47.2,72.8
2017-01-01,197.8,26.94193548387097,33.7,21.8,7.893548387096774,46.1,84.8
2017-02-01,159.2,26.92142857142857,32.4,22.6,10.442857142857141,48.2,83.2
2017-03-01,136.6,27.364516129032257,33.3,22.9,8.880645161290323,46.1,82.5
2017-04-01,210.39999999999998,27.78666666666667,34.4,22.8,6.3566666666666665,37.4,83.5
2017-05-01,191.4,28.470967741935485,32.8,23.6,8.3,44.3,82.8
2017-06-01,106.0,28.48,33.0,22.2,8.6,57.6,80.2
2017-07-01,80.0,28.296774193548387,32.4,23.5,10.248387096774193,51.8,79.6
2017-08-01,84.2,28.11935483870968,33.0,23.7,10.787096774193548,44.3,79.9
2017-09-01,125.2,27.96333333333333,32.4,22.3,8.49,50.4,81.0
2017-10-01,121.6,27.88064516129032,34.6,23.5,6.445161290322581,55.1,82.5
2017-11-01,271.0,27.07,32.5,23.1,6.3933333333333335,48.6,86.3
2017-12-01,371.2,26.990322580645163,33.5,23.2,8.216129032258063,45.7,85.2
2018-01-01,287.0,26.112903225806452,33.2,21.3,7.603225806451612,50.0,86.6
2018-02-01,14.8,27.160714285714285,33.5,23.5,12.325000000000001,45.0,77.2
2018-03-01,44.6,27.970967741935485,34.2,23.6,9.980645161290322,48.2,78.4
2018-04-01,61.199999999999996,28.496666666666666,35.0,22.6,8.823333333333332,44.6,78.5
2018-05-01,132.2,28.648387096774194,34.2,23.6,7.83225806451613,51.1,79.0
2018-06-01,182.6,28.413333333333334,33.4,22.9,8.123333333333333,47.2,79.3
2018-07-01,143.2,28.48709677419355,33.0,21.9,10.709677419354838,51.1,77.7
2018-08-01,121.60000000000001,28.519354838709678,33.2,21.9,11.238709677419354,45.0,77.0
2018-09-01,144.4,27.970000000000002,33.0,21.4,8.796666666666665,45.4,77.1
2018-10-01,234.4,27.903225806451612,34.5,22.5,7.387096774193548,48.2,79.7
2018-11-01,169.6,27.293333333333333,33.4,22.4,5.883333333333334,55.4,83.2
2018-12-01,172.6,27.58709677419355,33.8,23.6,6.790322580645161,45.7,81.5
2019-01-01,63.599999999999994,27.9741935483871,33.4,23.5,11.180645161290323,47.5,75.6
2019-02-01,31.599999999999998,28.217857142857145,34.1,21.9,12.271428571428572,43.6,74.1
2019-03-01,72.2,28.703225806451613,34.8,22.3,10.380645161290323,41.8,72.3
2019-04-01,174.8,28.646666666666665,34.5,22.7,7.659999999999999,40.7,77.6
2019-05-01,69.0,29.261290322580646,34.7,22.8,7.606451612903226,52.6,79.2
2019-06-01,173.8,28.42,33.0,23.3,8.93,57.6,79.5
2019-07-01,12.2,29.0258064516129,33.4,23.9,12.641935483870967,47.2,75.2
2019-08-01,11.8,29.12258064516129,34.0,24.5,14.980645161290322,44.3,72.1
2019-09-01,22.799999999999997,29.03666666666667,34.3,22.9,13.376666666666667,47.2,73.0
2019-10-01,176.8,28.138709677419353,34.4,22.9,7.751612903225807,51.8,78.1
2019-11-01,137.4,28.013333333333332,34.4,22.9,7.1066666666666665,45.4,79.2
2019-12-01,421.5,26.74516129032258,32.3,22.7,9.680645161290323,42.8,83.9
2020-01-01,88.4,27.73225806451613,32.8,23.8,11.829032258064515,43.2,77.9
2020-02-01,65.0,27.840740740740742,33.1,23.7,12.544444444444444,46.4,76.0
2020-03-01,108.8,28.616129032258065,34.0,24.1,10.66451612903226,44.6,75.2
2020-04-01,188.0,28.85,34.6,23.8,8.43,42.6,76.4
2020-05-01,255.6,28.91290322580645,34.5,23.6,7.403225806451613,46.3,79.1
2020-06-01,233.8,28.116666666666667,33.0,23.7,8.173333333333334,50.0,80.2
2020-07-01,140.8,27.951612903225808,32.5,23.7,8.612903225806452,53.7,78.2
2020-08-01,103.39999999999999,28.280645161290323,33.0,22.5,9.290322580645162,51.9,76.8
2020-09-01,150.2,27.533333333333335,33.2,21.9,7.946666666666667,57.4,79.0
2020-10-01,78.8,28.293548387096774,34.1,22.2,7.296774193548386,44.4,75.4
2020-11-01,220.6,27.246666666666666,33.4,23.3,6.79,40.7,81.7
2020-12-01,253.20000000000002,27.174193548387095,33.5,23.0,9.370967741935484,42.6,81.1
2021-01-01,692.8,25.980645161290322,31.6,21.7,10.17741935483871,48.2,82.6
2021-02-01,1.0,27.271428571428572,33.7,23.7,13.232142857142858,42.6,73.8
2021-03-01,182.4,27.92258064516129,34.2,23.0,9.883870967741935,48.2,76.6
2021-04-01,290.4,28.243333333333332,34.7,23.1,6.836666666666667,42.6,77.4
2021-05-01,245.79999999999998,28.703225806451613,33.6,22.9,7.109677419354839,40.7,79.3
2021-06-01,93.4,28.533333333333335,33.7,23.4,7.003333333333333,46.3,77.8
2021-07-01,195.8,28.61935483870968,33.4,23.2,8.883870967741935,51.9,76.5
2021-08-01,293.6,27.58709677419355,32.9,21.9,7.761290322580645,57.4,80.4
2021-09-01,205.4,28.3,33.3,22.5,8.32,50.0,77.3
2021-10-01,177.0,28.4741935483871,33.8,23.2,7.4,44.4,78.3
2021-11-01,312.4,27.59,33.9,22.8,5.6866666666666665,44.4,81.7
2021-12-01,119.6,27.677419354838708,33.9,22.9,8.470967741935485,44.4,79.7
2022-01-01,99.8,27.448387096774194,33.1,23.2,10.064516129032258,42.6,77.4
2022-02-01,175.0,27.289285714285715,33.6,22.6,9.25,46.3,80.3
2022-03-01,163.2,28.09032258064516,34.2,23.0,7.906451612903226,48.2,79.2
2022-04-01,239.6,28.1,34.0,23.1,6.136666666666667,57.4,80.0
2022-05-01,102.0,29.161290322580644,35.4,23.5,7.745161290322581,51.9,76.5
2022-06-01,211.8,27.923333333333336,33.6,22.9,6.223333333333333,44.4,79.1
2022-07-01,145.2,28.606451612903225,32.9,22.2,8.709677419354838,48.2,76.8
2022-08-01,141.4,28.135483870967743,33.2,23.7,8.616129032258065,53.7,77.4
2022-09-01,121.0,27.93,32.6,22.4,7.36,51.9,76.9
2022-10-01,279.6,27.54516129032258,34.6,23.1,6.251612903225807,40.4,78.7
2022-11-01,313.8,27.366666666666667,33.9,22.4,6.95,51.9,79.9
2022-12-01,215.4,26.748387096774195,32.7,23.1,8.758064516129032,42.6,81.2
